,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price_Class,Age_Converted
0,13500,23.0,46986,Diesel,90,1.0,0,2000,3,1165,High,1.9
1,13750,23.0,72937,Diesel,90,1.0,0,2000,3,1165,High,1.9
2,13950,24.0,41711,Diesel,90,,0,2000,3,1165,High,2.0
3,14950,26.0,48000,Diesel,90,0.0,0,2000,3,1165,High,2.2
4,13750,30.0,38500,Diesel,90,0.0,0,2000,3,1170,High,2.5
5,12950,32.0,61000,Diesel,90,0.0,0,2000,3,1170,High,2.7
6,16900,27.0,??,Diesel,????,,0,2000,3,1245,High,2.2
7,18600,30.0,75889,,90,1.0,0,2000,3,1245,High,2.5
8,21500,27.0,19700,Petrol,192,0.0,0,1800,3,1185,High,2.2
9,12950,23.0,71138,Diesel,????,,0,1900,3,1105,High,1.9
10,20950,25.0,31461,Petrol,192,0.0,0,1800,3,1185,High,2.1
11,19950,22.0,43610,Petrol,192,0.0,0,1800,3,1185,High,1.8
12,19600,25.0,32189,Petrol,192,0.0,0,1800,3,1185,High,2.1
13,21500,31.0,23000,Petrol,192,1.0,0,1800,3,1185,High,2.6
14,22500,32.0,34131,Petrol,192,1.0,0,1800,3,1185,High,2.7
15,22000,28.0,18739,Petrol,????,0.0,0,1800,3,1185,High,2.3
16,22750,30.0,34000,Petrol,192,1.0,0,1800,3,1185,High,2.5
17,17950,24.0,21716,Petrol,110,1.0,0,1600,3,1105,High,2.0
18,16750,24.0,25563,Petrol,110,0.0,0,1600,3,1065,High,2.0
19,16950,30.0,64359,Petrol,110,1.0,0,1600,3,1105,High,2.5
20,15950,30.0,67660,Petrol,110,1.0,0,1600,3,1105,High,2.5
21,16950,29.0,43905,,110,0.0,1,1600,3,1170,High,2.4
22,15950,28.0,56349,Petrol,110,1.0,0,1600,3,1120,High,2.3
23,16950,28.0,32220,Petrol,110,1.0,0,1600,3,1120,High,2.3
24,16250,29.0,25813,Petrol,110,1.0,0,1600,3,1120,High,2.4
25,15950,25.0,28450,Petrol,110,1.0,0,1600,3,1120,High,2.1
26,17495,27.0,34545,,110,1.0,0,1600,3,1120,High,2.2
27,15750,29.0,41415,Petrol,110,1.0,0,1600,3,1120,High,2.4
28,16950,28.0,44142,Petrol,110,0.0,0,1600,3,1120,High,2.3
29,17950,30.0,11090,,110,,0,1600,3,1120,High,2.5
30,12950,29.0,9750,Petrol,97,1.0,0,1400,3,1100,High,2.4
31,15750,22.0,35199,Petrol,97,1.0,0,1400,3,1100,High,1.8
32,15950,27.0,29510,Petrol,97,1.0,0,1400,3,1100,High,2.2
33,14950,,32692,Petrol,97,1.0,0,1400,3,1100,High,
34,15500,22.0,41000,Petrol,97,1.0,0,1400,3,1100,High,1.8
35,15750,26.0,43000,Petrol,97,0.0,0,1400,3,1100,High,2.2
36,15950,25.0,25000,Petrol,97,0.0,0,1400,3,1100,High,2.1
37,14950,23.0,10000,Petrol,97,1.0,0,1400,3,1100,High,1.9
38,15750,32.0,25329,Petrol,97,1.0,0,1400,3,1100,High,2.7
39,14750,27.0,27500,Petrol,97,0.0,0,1400,3,1100,High,2.2
40,13950,22.0,49059,Petrol,97,0.0,0,1400,3,1100,High,1.8
41,16750,27.0,44068,Petrol,97,1.0,0,1400,3,1100,High,2.2
42,13950,22.0,46961,Petrol,97,0.0,0,1400,3,1100,High,1.8
43,16950,27.0,110404,Diesel,90,,0,2000,5,1255,High,2.2
44,16950,22.0,100250,,90,0.0,0,2000,5,1255,High,1.8
45,19000,23.0,84000,Diesel,90,,0,2000,5,1270,High,1.9
46,17950,27.0,79375,Diesel,90,1.0,0,2000,5,1255,High,2.2
47,15800,22.0,75048,Petrol,97,1.0,0,1400,5,1110,High,1.8
48,17950,22.0,72215,Diesel,90,1.0,0,2000,5,1255,High,1.8
49,21950,31.0,64982,Petrol,192,,0,1800,5,1195,High,2.6
50,17950,22.0,62636,Diesel,90,1.0,0,2000,5,1255,High,1.8
51,15750,30.0,57086,Petrol,97,1.0,0,1400,5,1110,High,2.5
52,20500,26.0,56000,Petrol,110,1.0,1,1600,5,1180,High,2.2
53,21950,27.0,49866,Petrol,192,1.0,0,1800,5,1195,High,2.2
54,15500,25.0,49163,Petrol,110,0.0,1,1600,5,1165,High,2.1
55,13250,,45725,Petrol,110,1.0,0,1600,5,1075,High,
56,15250,28.0,43210,Petrol,97,0.0,0,1400,5,1110,High,2.3
57,15250,26.0,43000,Petrol,97,0.0,0,1400,5,1110,High,2.2
58,18950,23.0,39704,Petrol,110,1.0,1,1600,5,1180,High,1.9
59,15999,30.0,38950,Petrol,110,1.0,0,1600,5,1130,High,2.5
60,14950,22.0,37400,,97,1.0,0,1400,5,1110,High,1.8
61,16500,27.0,37177,Petrol,110,,0,1600,5,1130,High,2.2
62,18750,31.0,36544,Petrol,110,1.0,0,1600,5,1130,High,2.6
63,17950,30.0,33511,Petrol,110,1.0,0,1600,5,1130,High,2.5
64,17950,27.0,??,Petrol,97,1.0,0,1400,5,1110,High,2.2
65,16950,26.0,32181,Petrol,110,1.0,0,1600,5,1075,High,2.2
66,18950,28.0,30993,Petrol,110,1.0,0,1600,5,1130,High,2.3
67,14950,22.0,30400,Petrol,97,1.0,0,1400,5,1110,High,1.8
68,22250,22.0,30000,Diesel,110,1.0,0,2000,5,1275,High,1.8
69,15950,25.0,29719,Petrol,97,,0,1400,5,1110,High,2.1
70,15950,28.0,29206,Petrol,97,1.0,0,1400,5,1110,High,2.3
71,12995,32.0,29198,Petrol,97,1.0,0,1400,5,1060,High,2.7
72,18950,28.0,28817,Petrol,110,1.0,0,1598,5,1130,High,2.3
73,15750,23.0,28227,Petrol,97,1.0,0,1400,5,1110,High,1.9
74,19950,28.0,28000,Petrol,110,0.0,0,1600,5,1130,High,2.3
75,16950,23.0,28000,Petrol,110,1.0,0,1600,5,1115,High,1.9
76,18750,31.0,25266,Petrol,110,1.0,0,1600,5,1130,High,2.6
77,18450,27.0,23489,Petrol,110,0.0,0,1600,5,1115,High,2.2
78,16895,29.0,22575,Petrol,110,1.0,0,1600,5,1115,High,2.4
79,14900,30.0,22000,Petrol,97,1.0,0,1400,5,1110,High,2.5
80,18950,25.0,20019,Petrol,110,1.0,1,1600,5,1180,High,2.1
81,17250,29.0,20000,Petrol,110,1.0,0,1600,5,1115,High,2.4
82,15450,25.0,17003,Petrol,97,1.0,0,1400,5,1110,High,2.1
83,17950,,16238,Petrol,110,1.0,1,1600,5,1180,High,
84,16650,25.0,15414,Petrol,97,1.0,0,1400,5,1110,High,2.1
85,17450,28.0,8537,Petrol,110,1.0,0,1600,5,1130,High,2.3
86,14900,30.0,7000,,97,1.0,0,1400,5,1100,High,2.5
87,17950,20.0,66966,Diesel,90,1.0,0,2000,3,1245,High,1.7
88,15950,19.0,51884,Petrol,97,1.0,0,1400,3,1100,High,1.6
89,21950,19.0,50005,Diesel,110,1.0,0,2000,3,1265,High,1.6
90,16450,20.0,48110,Petrol,97,,0,1400,3,1100,High,1.7
91,22250,20.0,??,Diesel,90,1.0,0,2000,3,1260,High,1.7
92,19950,,34472,Diesel,90,1.0,0,1995,3,1260,High,
93,15950,20.0,33329,Petrol,97,1.0,0,1400,3,1100,High,1.7
94,18900,20.0,31850,Petrol,110,0.0,0,1600,3,1120,High,1.7
95,19950,17.0,30351,Diesel,90,1.0,0,1995,3,1260,High,1.4
96,15950,19.0,29435,Petrol,97,1.0,0,1400,3,1100,High,1.6
97,15950,19.0,25948,Petrol,97,1.0,0,1400,3,1100,High,1.6
98,18750,11.0,24500,Petrol,110,,0,1600,3,1120,High,0.9
99,17450,18.0,23902,Petrol,97,1.0,0,1400,3,1100,High,1.5
100,18990,20.0,23175,Petrol,110,1.0,0,1600,3,1120,High,1.7
101,16250,19.0,19200,Petrol,97,1.0,0,1400,3,1100,High,1.6
102,18500,13.0,18000,Petrol,71,0.0,0,1400,3,1125,High,1.1
103,18500,11.0,16123,Petrol,110,1.0,0,1600,3,1105,High,0.9
104,19450,11.0,14635,Petrol,110,1.0,1,1600,3,1155,High,0.9
105,16950,,13748,Petrol,97,1.0,0,1400,3,1100,High,
106,18800,14.0,11500,Petrol,110,1.0,0,1600,3,1045,High,1.2
107,17450,17.0,10000,,97,1.0,0,1400,3,1100,High,1.4
108,17950,20.0,7187,Petrol,110,1.0,0,1600,3,1105,High,1.7
109,32500,,1,,116,0.0,0,2000,5,1480,High,
110,31000,4.0,4000,Diesel,116,1.0,0,2000,5,1480,High,0.3
111,31275,4.0,1500,Diesel,116,1.0,0,2000,5,1480,High,0.3
112,24950,8.0,??,Diesel,116,1.0,0,2000,5,1320,High,0.7
113,24950,8.0,13253,Diesel,116,1.0,0,2000,5,1320,High,0.7
114,22950,7.0,10000,Diesel,116,1.0,0,2000,5,1270,High,0.6
115,24990,8.0,6000,Diesel,90,1.0,0,2000,5,1280,High,0.7
116,21950,8.0,10841,,90,1.0,0,2000,5,1270,High,0.7
117,17900,,1,Petrol,110,1.0,0,1600,3,1105,High,
118,19250,20.0,63000,Diesel,90,1.0,0,2000,5,1255,High,1.7
119,22250,,57313,,110,1.0,0,2000,5,1275,High,
120,18950,13.0,57037,Petrol,110,0.0,0,1600,5,1115,High,1.1
121,19950,19.0,51099,,90,1.0,0,2000,5,1255,High,1.6
122,16350,14.0,40010,Petrol,110,1.0,0,1600,5,1115,High,1.2
123,18950,20.0,39115,Petrol,110,1.0,0,1600,5,1130,High,1.7
124,16950,17.0,36012,,110,0.0,0,1600,5,1130,High,1.4
125,21750,16.0,??,Petrol,110,1.0,0,1600,5,1130,High,1.3
126,15950,20.0,36000,Petrol,110,1.0,0,1600,5,1075,High,1.7
127,16500,20.0,35000,Petrol,97,1.0,0,1400,5,1110,High,1.7
128,17950,17.0,33740,Petrol,97,1.0,0,1400,5,1135,High,1.4
129,15850,13.0,33477,Petrol,110,1.0,0,1600,5,1075,High,1.1
130,16250,20.0,32627,Petrol,97,1.0,0,1400,5,1110,High,1.7
131,15950,20.0,??,Petrol,97,1.0,0,1400,5,1110,High,1.7
132,16250,19.0,29441,Petrol,97,1.0,0,1400,5,1110,High,1.6
133,15950,13.0,29371,Petrol,110,1.0,0,1600,4,1105,High,1.1
134,16500,20.0,29000,Petrol,97,0.0,0,1400,5,1110,High,1.7
135,16500,19.0,27821,Petrol,97,0.0,0,1400,5,1110,High,1.6
136,18450,19.0,27371,Petrol,97,0.0,0,1400,5,1135,High,1.6
137,16250,13.0,25170,Petrol,110,1.0,0,1600,5,1105,High,1.1
138,23000,11.0,25000,Diesel,116,1.0,0,2000,5,1320,High,0.9
139,19900,20.0,23000,Petrol,110,1.0,0,1600,5,1130,High,1.7
140,16450,20.0,22588,Petrol,97,1.0,0,1400,5,1110,High,1.7
141,23950,19.0,21684,Petrol,192,1.0,0,1800,5,1185,High,1.6
142,19950,13.0,21428,Petrol,110,1.0,0,1600,5,1130,High,1.1
143,18500,16.0,20629,Petrol,110,1.0,0,1600,4,1090,High,1.3
144,18950,15.0,20270,Petrol,110,,0,1600,5,1130,High,1.2
145,16450,16.0,20105,Petrol,97,0.0,0,1400,5,1110,High,1.3
146,20500,20.0,20000,Petrol,110,0.0,1,1600,5,1165,High,1.7
147,24500,13.0,19988,Petrol,110,1.0,0,1600,5,1130,High,1.1
148,19450,19.0,18328,Petrol,110,0.0,0,1600,5,1130,High,1.6
149,20950,14.0,17896,Petrol,110,1.0,1,1600,4,1150,High,1.2
150,17200,20.0,17300,Petrol,97,1.0,0,1400,5,1110,High,1.7
